time v(/v0) v(/v1) v(/v2) v(/v3) v(/v4)
3.54502739331651e-07 0.222222222222222 0.23900706484973 0.226478727438126 0.217543236829911 0.0
3.54627694035553e-07 0.222222222222222 0.238493328964098 0.22490329083535 0.218881187018127 0.0
3.54752555870896e-07 0.222222222222222 0.237980032351723 0.223216563528883 0.223248490284097 0.0
3.54877433633144e-07 0.222222222222222 0.23746674470764 0.221426776056765 0.226281307756334 0.0
3.55002292302801e-07 0.222222222222222 0.236953626595706 0.219550589847453 0.225754547755325 0.0
3.55127288572169e-07 0.222222222222222 0.236440050532811 0.217608591508059 0.223494393236349 0.0
3.55252599767913e-07 0.222222222222222 0.235925304628508 0.215627692204794 0.221157449440216 0.0
3.5537826054343e-07 0.222222222222222 0.235409263477108 0.213643681070118 0.21881990462879 0.0
3.55504239804955e-07 0.222222222222222 0.234892071717571 0.211699482898171 0.218075874536515 0.0
3.55630809618814e-07 0.222222222222222 0.234372629913497 0.209838625751638 0.221057282641679 0.0
3.5575720014585e-07 0.222222222222222 0.233854113939449 0.208122859781952 0.22557518779366 0.0
3.55883744171185e-07 0.222222222222222 0.23333517399677 0.206598655755092 0.226813110222083 0.0
3.56010163733069e-07 0.222222222222222 0.232816965381311 0.20531916880671 0.224137937745595 0.0
3.56136312608551e-07 0.222222222222222 0.232300101618437 0.204331005473163 0.221111776628866 0.0
3.56262338912351e-07 0.222222222222222 0.231783989795763 0.203672459296792 0.21948087387426 0.0
3.5638784728991e-07 0.222222222222222 0.231270261959208 0.203376374941603 0.218740340722323 0.0
3.56513259039961e-07 0.222222222222222 0.230757206520797 0.203463521150507 0.219920665933457 0.0
3.56638804652856e-07 0.222222222222222 0.230243895480006 0.203948526530676 0.223801356907868 0.0
3.56764001008074e-07 0.222222222222222 0.22973231816431 0.204831732616539 0.22698599080005 0.0
3.56889191737321e-07 0.222222222222222 0.22922108395972 0.206105548500779 0.225694586169261 0.0
3.57014238369675e-07 0.222222222222222 0.228710772639473 0.207747946155379 0.221628634090538 0.0
3.57139566546547e-07 0.222222222222222 0.228199662797931 0.209733773950673 0.21913735978083 0.0
3.57264991485501e-07 0.222222222222222 0.227688524860884 0.212019602205705 0.21909176437924 0.0
3.57390221569511e-07 0.222222222222222 0.227178562237144 0.214548371250098 0.220106916884663 0.0
3.57515600388418e-07 0.222222222222222 0.226668391220136 0.217267471582588 0.222450303649035 0.0
3.57641033189135e-07 0.222222222222222 0.226158414253432 0.220109778432421 0.225765278624986 0.0
3.57766330191423e-07 0.222222222222222 0.225649418702469 0.22300145762393 0.22662274224847 0.0
3.57891693837626e-07 0.222222222222222 0.225140598308803 0.225875913836417 0.223225521108269 0.0
3.58016862425735e-07 0.222222222222222 0.224633031317917 0.228656716090216 0.21914058805916 0.0
3.58142080173368e-07 0.222222222222222 0.224125743700409 0.231281734397657 0.218353951642435 0.0
3.58267349598424e-07 0.222222222222222 0.223618743306321 0.233687996310897 0.220251366670632 0.0
3.58392898997511e-07 0.222222222222222 0.223111126085142 0.23582272268105 0.222512319014656 0.0
3.58518549161712e-07 0.222222222222222 0.222603637391793 0.237633689415925 0.224702102827696 0.0
3.58644342012853e-07 0.222222222222222 0.222096128420328 0.239082368388469 0.226086557997949 0.0
3.58770501094645e-07 0.222222222222222 0.221587720227693 0.240141642019917 0.224456442348196 0.0
3.58896889672047e-07 0.222222222222222 0.221078988121835 0.240791532804684 0.220263272589277 0.0
3.59022876842052e-07 0.222222222222222 0.220572490977507 0.241025321255056 0.217779575958701 0.0
3.5914842945668e-07 0.222222222222222 0.220068376918337 0.240854056210236 0.219412448442704 0.0
3.59273818691176e-07 0.222222222222222 0.219565574046098 0.240297746100577 0.222787501006412 0.0
3.59399422349249e-07 0.222222222222222 0.219062589852905 0.239381509248276 0.224921152308094 0.0
3.59525036817317e-07 0.222222222222222 0.218560264215939 0.238141099109522 0.22538074697841 0.0
3.59650879539743e-07 0.222222222222222 0.218057752996162 0.236615525779862 0.22429883101577 0.0
3.59776476330226e-07 0.222222222222222 0.217556973527058 0.234857533592445 0.221394795282912 0.0
3.59902237719928e-07 0.222222222222222 0.217056312918902 0.232911877204574 0.218380618127019 0.0
3.60027710643858e-07 0.222222222222222 0.21655759896322 0.230837295960551 0.21850715154727 0.0
3.60153245170367e-07 0.222222222222222 0.21605946406681 0.228679574538045 0.22205169417722 0.0
3.60279123448411e-07 0.222222222222222 0.215560819443717 0.226483064209772 0.225409266227956 0.0
3.60405200949568e-07 0.222222222222222 0.215062270836598 0.224296669647677 0.225722575548164 0.0
3.60531304811975e-07 0.222222222222222 0.214564532684721 0.222165746559062 0.223735199994275 0.0
3.60657271119613e-07 0.222222222222222 0.21406828001334 0.220130000456371 0.221293972689648 0.0
3.60783377444448e-07 0.222222222222222 0.213572449428084 0.218216178718725 0.219254137986186 0.0
3.60909057863359e-07 0.222222222222222 0.213079293427975 0.216457405718877 0.218776127033994 0.0
3.61034732811132e-07 0.222222222222222 0.212587188582825 0.21486593220532 0.221159885484107 0.0
3.61160152552161e-07 0.222222222222222 0.212097141667584 0.213457485950057 0.224982422275402 0.0
3.61285662685476e-07 0.222222222222222 0.211607833177834 0.212235735745686 0.226432779863886 0.0
3.61411464203609e-07 0.222222222222222 0.211118518414461 0.211203003513686 0.224056280991857 0.0
3.61537354119207e-07 0.222222222222222 0.210630026878763 0.210361561493163 0.220639055962288 0.0
3.61663253041082e-07 0.222222222222222 0.210142703754721 0.209709100543962 0.219121382995547 0.0
3.6178913716195e-07 0.222222222222222 0.209656677755356 0.209240783986225 0.219585716179431 0.0
3.61914815330318e-07 0.222222222222222 0.209172721037126 0.208950903244299 0.221315249559223 0.0
3.62040529067547e-07 0.222222222222222 0.208689939237871 0.208832376907641 0.224116757030784 0.0
3.6216663853114e-07 0.222222222222222 0.208206995373194 0.208879959308373 0.226208107701086 0.0
3.62292994317893e-07 0.222222222222222 0.207724512478023 0.209089918204925 0.224810645162727 0.0
3.62419479525467e-07 0.222222222222222 0.207242984811946 0.209458946963763 0.220710386840381 0.0
3.62545732299471e-07 0.222222222222222 0.206763830611256 0.20998313782127 0.218308000428809 0.0
3.62672107769812e-07 0.222222222222222 0.206285743564218 0.210662091645557 0.219629389450662 0.0
3.6279895173227e-07 0.222222222222222 0.205807470925087 0.211497676394664 0.222336265286231 0.0
3.62925450928762e-07 0.222222222222222 0.205332126893631 0.212483724878612 0.224236778351813 0.0
3.63051455294106e-07 0.222222222222222 0.204860305209658 0.213615853988162 0.225267947236617 0.0
3.63177215807934e-07 0.222222222222222 0.20439109809005 0.214891866145483 0.224632895020769 0.0
3.63303081997825e-07 0.222222222222222 0.203923246119848 0.216309659191499 0.22139333169699 0.0
3.63429177583897e-07 0.222222222222222 0.203456344932224 0.217862676030176 0.218183195966846 0.0
3.63555312407261e-07 0.222222222222222 0.202991153922459 0.219536648857008 0.218934985226948 0.0
3.63681370243205e-07 0.222222222222222 0.202528151311609 0.221313220956639 0.22276548455582 0.0
3.63807241619266e-07 0.222222222222222 0.202067784367841 0.223169011902665 0.225247223264742 0.0
3.63933035911924e-07 0.222222222222222 0.201609698848292 0.225078942296749 0.224918489749843 0.0
3.6405875003143e-07 0.222222222222222 0.201153954931174 0.227011612623654 0.223485184858538 0.0
3.64184373246744e-07 0.222222222222222 0.200700640768543 0.2289311220977 0.221468396564635 0.0
3.64310285163647e-07 0.222222222222222 0.200248446010757 0.230803534935937 0.219022861874477 0.0
3.64436508207941e-07 0.222222222222222 0.19979736125435 0.232585896217326 0.218785900829163 0.0
3.64562503689644e-07 0.222222222222222 0.199349370283843 0.234225833141225 0.222271008483087 0.0
3.64688495374015e-07 0.222222222222222 0.198903728498501 0.235681534867277 0.225878221948709 0.0
3.64814774815499e-07 0.222222222222222 0.198459470889912 0.236911610124848 0.225554730961432 0.0
3.64940951032454e-07 0.222222222222222 0.198018037340134 0.237870425716485 0.222564977382751 0.0
3.65067186389482e-07 0.222222222222222 0.197578918542142 0.238522452995213 0.220381054427894 0.0
3.65193786742842e-07 0.222222222222222 0.197141124428413 0.238836796039117 0.219596754983082 0.0
3.65320235277936e-07 0.222222222222222 0.196706510623974 0.238788120648549 0.219843085422471 0.0
3.65446998797899e-07 0.222222222222222 0.196273540843733 0.238361328208395 0.222139384145033 0.0
3.65573999510953e-07 0.222222222222222 0.195842562667219 0.237550183896607 0.225500166927567 0.0
3.65701044136362e-07 0.222222222222222 0.195414306262583 0.236361638560076 0.225957540936769 0.0
3.65827764078215e-07 0.222222222222222 0.194990070041258 0.234818690451556 0.222492272245636 0.0
3.65954537415079e-07 0.222222222222222 0.194568644962467 0.232947465669697 0.219200624007343 0.0
3.66080783096744e-07 0.222222222222222 0.194152011960786 0.230798350350039 0.219205988428948 0.0
3.66206835620067e-07 0.222222222222222 0.193739107603602 0.228417554814393 0.221149936936451 0.0
3.66332992378064e-07 0.222222222222222 0.19332902145425 0.225857481513167 0.223135420121876 0.0
3.66458995874274e-07 0.222222222222222 0.192922656086882 0.223187734377753 0.224892637341869 0.0
3.6658504735341e-07 0.222222222222222 0.19251942644329 0.220473212740758 0.225247268058304 0.0
3.66710869322215e-07 0.222222222222222 0.192120281366422 0.217791249524454 0.222653673716297 0.0
3.66836790913031e-07 0.222222222222222 0.191724240402655 0.215206317602253 0.219076453697161 0.0
3.66962804716504e-07 0.222222222222222 0.191331404071187 0.212788231670975 0.218588864333218 0.0
3.67088759835317e-07 0.222222222222222 0.19094231402444 0.210604892572896 0.221581094156042 0.0
3.67214884658171e-07 0.222222222222222 0.190556339941711 0.208711070883894 0.224493942484935 0.0
3.67340960369653e-07 0.222222222222222 0.190174227547583 0.20716020180394 0.22506137729712 0.0
3.67467415106649e-07 0.222222222222222 0.189794765537463 0.205988001327587 0.223930144235435 0.0
3.67594591802399e-07 0.222222222222222 0.189417047578213 0.205224549133006 0.221866798413728 0.0
3.67721641935443e-07 0.222222222222222 0.189043694776411 0.204893366234535 0.219513434390457 0.0
3.67848400079857e-07 0.222222222222222 0.18867524719384 0.204995061699103 0.218977221557043 0.0
3.67974668277188e-07 0.222222222222222 0.188312316057582 0.205514820626703 0.221655348292245 0.0
3.68100796039473e-07 0.222222222222222 0.187953939205079 0.206428059257309 0.22513446977042 0.0
3.68227151450387e-07 0.222222222222222 0.187599148406795 0.207703681245795 0.225667298393757 0.0
3.68353678259089e-07 0.222222222222222 0.187248195393351 0.209298732509112 0.223070080748129 0.0
3.68480152981427e-07 0.222222222222222 0.186901780066037 0.211158683883458 0.220364129612178 0.0
3.68606620778847e-07 0.222222222222222 0.18655984967893 0.213225842381996 0.219486901350263 0.0
3.6873301230769e-07 0.222222222222222 0.186222661290164 0.215437014539212 0.220273763149157 0.0
3.68859431971391e-07 0.222222222222222 0.185890007793178 0.217730601289761 0.222364263394212 0.0
3.68985638562657e-07 0.222222222222222 0.185562587514262 0.220039701081925 0.224907559935203 0.0
3.69111819969272e-07 0.222222222222222 0.185239973391231 0.222308305747026 0.225519000045848 0.0
3.69238111598663e-07 0.222222222222222 0.184921897594263 0.224484159357819 0.22283465221564 0.0
3.69364593644931e-07 0.222222222222222 0.184608249073175 0.226519889311214 0.21939692796999 0.0
3.69490659589192e-07 0.222222222222222 0.184300591888351 0.228365578920453 0.218914885576191 0.0
3.69616710469921e-07 0.222222222222222 0.183997994761648 0.229996007411936 0.221386415635686 0.0
3.69742975576044e-07 0.222222222222222 0.18369999192302 0.231390466002603 0.223886192482755 0.0
3.69869078355045e-07 0.222222222222222 0.183407547578846 0.232530424990932 0.224787280794946 0.0
3.69995351502353e-07 0.222222222222222 0.183119962907666 0.233413147697224 0.224261022369871 0.0
3.70121643895398e-07 0.222222222222222 0.182837665830458 0.2340390835847 0.22223740902332 0.0
3.70248168036314e-07 0.222222222222222 0.182560269074183 0.23441741181677 0.219474140084124 0.0
3.70375289946372e-07 0.222222222222222 0.182287095673237 0.234561343200915 0.218872037975196 0.0
3.70502040792102e-07 0.222222222222222 0.182020313820208 0.234487791003542 0.221847510904205 0.0
3.70628609129914e-07 0.222222222222222 0.181759560822526 0.234219272947194 0.225192361312619 0.0
3.70755231416613e-07 0.222222222222222 0.181504411063144 0.233777892210993 0.225232042352519 0.0
3.70882160169409e-07 0.222222222222222 0.181254449942365 0.233184200995454 0.222756879850803 0.0
3.7100868705273e-07 0.222222222222222 0.181011134665174 0.232462353996397 0.220692797324889 0.0
3.71135253887739e-07 0.222222222222222 0.180773658628804 0.231628773588316 0.219819869137512 0.0
3.71261658344097e-07 0.222222222222222 0.180542460017783 0.230700390947907 0.220099006283168 0.0
3.71388115478853e-07 0.222222222222222 0.180317204090778 0.229688060921911 0.222349628004301 0.0
3.71514526199426e-07 0.222222222222222 0.180098133292651 0.228601813590997 0.225350996158092 0.0
3.71640898686822e-07 0.222222222222222 0.179885291902618 0.227448239606659 0.225418020040266 0.0
3.71767220450371e-07 0.222222222222222 0.179678758061029 0.226232133948645 0.221947360270319 0.0
3.71893395059229e-07 0.222222222222222 0.1794787373142 0.224958111350055 0.219124242023157 0.0
3.72019586158913e-07 0.222222222222222 0.179285021978155 0.223628150937928 0.219737609881774 0.0
3.72146147390257e-07 0.222222222222222 0.179097159083517 0.222242976937431 0.221940108364914 0.0
3.72272548077433e-07 0.222222222222222 0.17891601193685 0.220815252759097 0.223596344319231 0.0
3.72398944886231e-07 0.222222222222222 0.178741401950226 0.219353597866909 0.224690819586612 0.0
3.72525289859972e-07 0.222222222222222 0.17857344837764 0.217873038091834 0.224398949764627 0.0
3.72651877458129e-07 0.222222222222222 0.178411831033008 0.216389347683605 0.221562310694022 0.0
3.72778703475287e-07 0.222222222222222 0.178256648597643 0.214926990049359 0.218673674253334 0.0
3.72905376244928e-07 0.222222222222222 0.178108441090388 0.213519854938465 0.219602850153737 0.0
3.73032289998912e-07 0.222222222222222 0.177966807181613 0.212197561554727 0.223288558696846 0.0
3.73158956685658e-07 0.222222222222222 0.177832342330779 0.211002569810191 0.225201515004414 0.0
3.732854439047e-07 0.222222222222222 0.177704989709549 0.209973169152462 0.224155947741982 0.0
3.73412081819378e-07 0.222222222222222 0.17758446282348 0.209146903164082 0.222346633267367 0.0
3.73539260810733e-07 0.222222222222222 0.177470494568242 0.208562379910882 0.220719119606015 0.0
3.73666151301025e-07 0.222222222222222 0.17736389494607 0.20826039512459 0.219482819691329 0.0
3.73792937958266e-07 0.222222222222222 0.177264519759291 0.20827022010466 0.22044781244897 0.0
3.73919402054289e-07 0.222222222222222 0.177172546447936 0.208613897778326 0.22384562036014 0.0
3.74045881797718e-07 0.222222222222222 0.177087743268563 0.209305743526133 0.225880289436768 0.0
3.74172725062831e-07 0.222222222222222 0.177009948003566 0.210353317926323 0.223856909702265 0.0
3.74299651637739e-07 0.222222222222222 0.176939407905112 0.211748503362196 0.220492596328104 0.0
3.74426234348461e-07 0.222222222222222 0.176876373016804 0.213465479175553 0.219502666343237 0.0
3.74552781184499e-07 0.222222222222222 0.176820690304039 0.215474360647073 0.220697450122561 0.0
3.74679370581772e-07 0.222222222222222 0.176772357168327 0.217731681514649 0.222394645196725 0.0
3.74806163358164e-07 0.222222222222222 0.176731363215017 0.220184945613521 0.224193401591736 0.0
3.7493302762e-07 0.222222222222222 0.176697802844252 0.222766346419176 0.225024583531094 0.0
3.75059702632744e-07 0.222222222222222 0.176671760240134 0.225397058599108 0.22308548806433 0.0
3.75186568604758e-07 0.222222222222222 0.176653181009948 0.22800634190404 0.219713774838329 0.0
3.7531363904309e-07 0.222222222222222 0.176642119901012 0.230513202443466 0.218934198181397 0.0
3.75440941111841e-07 0.222222222222222 0.17663863304829 0.232836881411852 0.221658771153454 0.0
3.75568634114905e-07 0.222222222222222 0.176642789454145 0.234901583077634 0.224438318016773 0.0
3.7569564330466e-07 0.222222222222222 0.176654543078232 0.236621285942597 0.224708104708559 0.0
3.75822377996418e-07 0.222222222222222 0.176673858645498 0.237946095178772 0.223264950478123 0.0
3.75949065841759e-07 0.222222222222222 0.176700752651806 0.23883339272516 0.221386522003308 0.0
3.76076186627901e-07 0.222222222222222 0.176735370080977 0.23925237314091 0.219760594670263 0.0
3.76203710782767e-07 0.222222222222222 0.176777784461026 0.239182047168986 0.219904576715514 0.0
3.76330932139035e-07 0.222222222222222 0.17682777379185 0.238622970944663 0.222598786373622 0.0
3.76457799403643e-07 0.222222222222222 0.176885259929858 0.237596874383758 0.225304273554319 0.0
3.76584589291429e-07 0.222222222222222 0.176950328305406 0.236137891850162 0.224776703302553 0.0
3.76711533872096e-07 0.222222222222222 0.177023101527355 0.234291989418491 0.221678596847235 0.0
3.76838395235982e-07 0.222222222222222 0.177103443742691 0.232124330182339 0.21958020977753 0.0
3.76965631866058e-07 0.222222222222222 0.177191663195577 0.229699012354918 0.220110379301206 0.0
3.77092586296515e-07 0.222222222222222 0.177287301484983 0.227108765505692 0.222002966825163 0.0
3.7721932939037e-07 0.222222222222222 0.177390354209546 0.22443778898145 0.223835980431485 0.0
3.77346162573495e-07 0.222222222222222 0.177501039614104 0.221765517243398 0.224750638786579 0.0
3.77473517468077e-07 0.222222222222222 0.177619770448695 0.219166854937348 0.22362420388442 0.0
3.77600342644078e-07 0.222222222222222 0.177745544579133 0.216741234132373 0.220719033275985 0.0
3.77727115522342e-07 0.222222222222222 0.177878759838967 0.214547937844579 0.218973507029462 0.0
3.77854063381222e-07 0.222222222222222 0.178019639486638 0.212642063523585 0.220688835036174 0.0
3.77981687201574e-07 0.222222222222222 0.178168785400662 0.211065435070862 0.223941546624259 0.0
3.78109075267948e-07 0.222222222222222 0.178325138863717 0.209863273445233 0.225047289073453 0.0
3.78236424555179e-07 0.222222222222222 0.178488882534568 0.209049922934687 0.223485084841332 0.0
3.78363999661678e-07 0.222222222222222 0.178660335244164 0.208627157235816 0.221400222341741 0.0
3.78491426574868e-07 0.222222222222222 0.178838960616683 0.208585138982872 0.22013595532389 0.0
3.78618804134597e-07 0.222222222222222 0.17902483679949 0.208898862956295 0.220118318791713 0.0
3.78746096945582e-07 0.222222222222222 0.179217854609902 0.209532887172323 0.221995249352895 0.0
3.78873269728539e-07 0.222222222222222 0.179417894362704 0.210443117794254 0.224740645193193 0.0
3.79000553539497e-07 0.222222222222222 0.179625267211092 0.211582102747203 0.225134014628029 0.0
3.79127796360359e-07 0.222222222222222 0.179839677078284 0.212896418020661 0.22219532599997 0.0
3.79254624726597e-07 0.222222222222222 0.180060399778256 0.214328779441652 0.219441480010095 0.0
