# Version 1.00
#
freq[Hz]	Trc1_S11[dB]	Trc2_S12[dB]	Trc3_S21[dB]	Trc4_S22[dB]	
4.129446893787575E+008	8.606206213736163E-001	-2.333520547291379E+001	-1.690646205902733E+001	-2.946151072508786E+000	
4.169524048096193E+008	4.793142952258313E-001	-2.335347054749069E+001	-1.694815187313893E+001	-2.956989982274617E+000	
4.209601202404810E+008	2.182492550972881E-001	-2.312836952249624E+001	-1.677859806318492E+001	-2.957068572581481E+000	
4.249678356713427E+008	-5.310465751126141E-003	-2.268976957919487E+001	-1.648748548045344E+001	-2.962055855904482E+000	
4.289755511022044E+008	-1.335848396058454E-001	-2.197013199468107E+001	-1.596936188947989E+001	-2.977411418244914E+000	
4.329832665330662E+008	-2.141655834662527E-001	-2.111695579323505E+001	-1.540175855244321E+001	-2.998110590349680E+000	
4.369909819639279E+008	-1.963372434986547E-001	-2.021643557627071E+001	-1.480333415536765E+001	-3.024685490854415E+000	
4.409986973947896E+008	-4.129838043442452E-002	-1.940437483132910E+001	-1.435392727801598E+001	-3.041193931127570E+000	
4.450064128256514E+008	2.757116022216336E-002	-1.886539251847410E+001	-1.428317128208769E+001	-3.050078797176209E+000	
4.490141282565131E+008	1.572769515957775E-002	-1.858283726660867E+001	-1.446172219835940E+001	-3.060910709118371E+000	
4.530218436873748E+008	-7.368137859563818E-002	-1.846546247336152E+001	-1.476080622507849E+001	-3.082495643096568E+000	
4.570295591182365E+008	-2.207408765720295E-001	-1.838686142248987E+001	-1.502427061611230E+001	-3.112090868310853E+000	
4.610372745490982E+008	-4.228137065482570E-001	-1.845342359325042E+001	-1.535062952706844E+001	-3.143079890160129E+000	
4.650449899799600E+008	-6.601818270278870E-001	-1.853220210074825E+001	-1.560529267258232E+001	-3.191654948259587E+000	
4.690527054108217E+008	-9.099530509515102E-001	-1.861090555070387E+001	-1.577813085102801E+001	-3.240472713313797E+000	
4.730604208416834E+008	-1.177316724559147E+000	-1.862743536034102E+001	-1.582226674282741E+001	-3.290743434107361E+000	
4.770681362725451E+008	-1.433990177658314E+000	-1.857539730138429E+001	-1.572894653817735E+001	-3.344729140044622E+000	
4.810758517034068E+008	-1.665342020207226E+000	-1.849002989622476E+001	-1.556243896933086E+001	-3.394096970223495E+000	
4.850835671342686E+008	-1.935178307953449E+000	-1.845823877244094E+001	-1.544989223645189E+001	-3.420094441994455E+000	
