# Version 1.00
#
freq[Hz]	Trc4_S21[dB]	Trc7_S21[°]	
1.728347245174000E+006	-6.502475678988877E+001	8.924938742059935E+001	
1.761559885989959E+006	-6.512092910076071E+001	8.989167329267475E+001	
1.795410754750591E+006	-6.465176670470700E+001	8.281884135863162E+001	
1.829912115910013E+006	-6.433326452798895E+001	8.346553540684498E+001	
1.865076469601202E+006	-6.434675313746061E+001	8.658624960988185E+001	
1.900916556164898E+006	-6.417107538133664E+001	8.653784431506922E+001	
1.937445360765537E+006	-6.379369952215355E+001	8.610403300593058E+001	
1.974676118095886E+006	-6.375273799948798E+001	8.404195945738107E+001	
2.012622317172084E+006	-6.365522010855285E+001	8.537896681684174E+001	
2.051297706220822E+006	-6.355887852052317E+001	8.288927052669153E+001	
2.090716297660445E+006	-6.332977348703319E+001	8.326174810711433E+001	
2.130892373177768E+006	-6.334640822425783E+001	8.482589808829400E+001	
2.171840488902449E+006	-6.335627764754643E+001	8.169639118414187E+001	
2.213575480680801E+006	-6.288481636623319E+001	8.416405126408952E+001	
2.256112469450938E+006	-6.248668663004865E+001	8.674583669048300E+001	
2.299466866721225E+006	-6.281950269775876E+001	8.177651876350446E+001	
2.343654380153991E+006	-6.233045666036947E+001	8.893607830091268E+001	
2.388691019256549E+006	-6.247539109305494E+001	8.507296480321551E+001	
2.434593101181578E+006	-6.239450171659268E+001	8.380466940564817E+001	
2.481377256638958E+006	-6.190949277131661E+001	8.603507164807932E+001	
2.529060435921222E+006	-6.185507010501436E+001	8.334145814626078E+001	
2.577659915044786E+006	-6.164380700773525E+001	8.261358713996961E+001	
2.627193302009196E+006	-6.172836368852487E+001	8.490836847654705E+001	
2.677678543176656E+006	-6.152851528142968E+001	8.197912279857532E+001	
2.729133929774141E+006	-6.142423200606482E+001	8.273042065881676E+001	
2.781578104520465E+006	-6.105553238365095E+001	8.369482815338925E+001	
2.835030068380698E+006	-6.103914424509423E+001	8.439051379222569E+001	
2.889509187450368E+006	-6.093770615019752E+001	8.251153655224147E+001	
2.945035199971967E+006	-6.064704935950683E+001	8.398123707039945E+001	
3.001628223486276E+006	-6.049094266615552E+001	8.144612172262238E+001	
3.059308762121126E+006	-6.022811661454949E+001	8.302621657966851E+001	
3.118097714020207E+006	-6.023172242045994E+001	8.362645147524479E+001	
3.178016378914650E+006	-5.987685963044189E+001	8.340259732489967E+001	
