Time	V(t)	I(t)
8.76E-08	-1.22E-02	1.74E-01
8.80E-08	4.53E-03	1.77E-01
8.84E-08	-8.59E-03	1.75E-01
8.88E-08	-2.04E-02	1.75E-01
8.92E-08	-2.38E-02	1.76E-01
8.96E-08	-1.21E-02	1.77E-01
9.00E-08	-2.80E-02	1.74E-01
9.04E-08	-7.97E-03	1.73E-01
9.08E-08	-2.74E-02	1.76E-01
9.12E-08	-2.45E-02	1.75E-01
9.16E-08	-1.68E-02	1.75E-01
9.20E-08	-3.75E-03	1.74E-01
9.24E-08	-1.62E-02	1.74E-01
9.28E-08	-3.75E-04	1.75E-01
9.32E-08	-7.75E-03	1.76E-01
9.36E-08	-4.28E-03	1.77E-01
9.40E-08	-6.25E-05	1.77E-01
9.44E-08	7.91E-03	1.73E-01
9.48E-08	2.00E-02	1.74E-01
9.52E-08	1.59E-02	1.75E-01
9.56E-08	1.60E-02	1.75E-01
9.60E-08	1.60E-02	1.75E-01
9.64E-08	2.41E-02	1.73E-01
9.68E-08	2.38E-02	1.72E-01
9.72E-08	1.60E-02	1.76E-01
9.76E-08	1.97E-02	1.78E-01
9.80E-08	8.28E-03	1.73E-01
9.84E-08	3.20E-02	1.75E-01
9.88E-08	1.18E-02	1.75E-01
9.92E-08	2.83E-02	1.73E-01
9.96E-08	1.57E-02	1.72E-01
1.00E-07	-3.91E-03	1.74E-01
1.00E-07	1.65E-02	1.73E-01
1.01E-07	1.16E-02	1.70E-01
1.01E-07	8.03E-03	1.62E-01
1.02E-07	3.38E-03	1.54E-01
1.02E-07	-7.75E-03	1.48E-01
1.02E-07	7.22E-03	1.40E-01
1.03E-07	-3.82E-02	1.30E-01
1.03E-07	-8.99E-02	1.22E-01
1.04E-07	-1.69E-01	1.16E-01
1.04E-07	-2.62E-01	1.14E-01
1.04E-07	-3.64E-01	1.08E-01
1.05E-07	-4.24E-01	1.05E-01
1.05E-07	-4.24E-01	1.02E-01
1.06E-07	-4.24E-01	1.00E-01
1.06E-07	-4.24E-01	9.89E-02
1.06E-07	-4.24E-01	1.00E-01
1.07E-07	-4.24E-01	9.73E-02
1.07E-07	-4.24E-01	9.59E-02
1.08E-07	-4.24E-01	9.71E-02
1.08E-07	-4.24E-01	9.31E-02
1.08E-07	-4.24E-01	9.39E-02
1.09E-07	-4.24E-01	9.50E-02
1.09E-07	-4.24E-01	9.60E-02
1.10E-07	-4.24E-01	9.51E-02
1.10E-07	-4.24E-01	9.21E-02
1.10E-07	-4.24E-01	8.82E-02
1.11E-07	-3.88E-01	8.42E-02
1.11E-07	-2.89E-01	7.92E-02
1.12E-07	-2.16E-01	7.62E-02
1.12E-07	-9.20E-02	7.02E-02
1.12E-07	-1.99E-02	6.51E-02
1.13E-07	6.79E-02	5.60E-02
1.13E-07	1.24E-01	5.11E-02
1.14E-07	1.76E-01	4.33E-02
1.14E-07	2.16E-01	3.81E-02
1.14E-07	2.44E-01	3.16E-02
1.15E-07	2.56E-01	2.13E-02
1.15E-07	2.40E-01	1.91E-02
1.16E-07	2.17E-01	1.52E-02
1.16E-07	1.74E-01	1.25E-02
