time v(/en) v(/clk) v(/rstb) v(/serial_out) v(/net97) v(/en_out)
0.000104163407425011 2.08170371250418 2.49999999999988 2.49999999999999 1.18777999671499 3.10769639567497e-07 3.04439810238857e-07
0.000104402433875008 2.20121693750351 2.50000000000004 2.49999999999993 1.18778013042563 -1.19819060680622e-08 -5.62652220159898e-09
0.000104701216937504 2.35060846875053 2.49999999999988 2.49999999999999 1.18778040157005 7.6532997351656e-08 7.01612520558592e-08
0.000105 2.49999999999945 2.50000000000004 2.49999999999993 1.18778063502967 -2.43928738514951e-08 -1.80247092563549e-08
0.000105087811189806 2.5 2.49999999999996 2.49999999999996 1.18778071781758 1.79443653397613e-08 1.79344839564767e-08
0.00010523503516824 2.5 2.49999999999996 2.49999999999996 1.18778084250656 1.79083614037571e-08 1.79076710317878e-08
0.000105370491644821 2.5 2.49999999999996 2.49999999999996 1.18778095707518 1.78893499897428e-08 1.7879483235121e-08
0.000105641404597982 2.5 2.49999999999996 2.49999999999996 1.18778118610262 1.78345457983433e-08 1.78338481379321e-08
0.000106183230504304 2.5 2.49999999999996 2.49999999999996 1.18778164313305 1.77655813368746e-08 1.7755724549823e-08
0.000107266882316949 2.5 2.49999999999996 2.49999999999996 1.18778255367873 1.76411295364654e-08 1.7640440683949e-08
0.000109434185942238 2.5 2.49999999999996 2.49999999999996 1.18778436017608 1.75044591619217e-08 1.74946267243271e-08
0.000113768793192816 2.5 2.49999999999996 2.49999999999996 1.18778791594777 1.73672067979411e-08 1.73665644990751e-08
0.000121296739054177 2.49999999999999 2.49999999999996 2.49999999999996 1.18779391319717 1.7317868898281e-08 1.73081222528134e-08
0.000131714537765898 2.5 2.49999999999996 2.49999999999996 1.18780185232569 1.7319121039316e-08 1.73186042738486e-08
0.000140857268882949 2.49999999999999 2.49999999999996 2.49999999999996 1.18780848786676 1.73353161049538e-08 1.73257017956955e-08
0.00015 2.5 2.49999999999996 2.49999999999996 1.18781482711976 1.73075306390201e-08 1.73071318706687e-08
0.00015003125 2.5 2.34375000009697 2.49999999999996 1.18781469943298 -7.39561342502487e-07 -7.39212141582916e-07
0.000150080244822789 2.5 2.09877588615128 2.49999999999996 1.18781498960288 6.41721285802769e-07 6.40541049782071e-07
0.000150108595451936 2.5 1.95702274041702 2.50000000000002 1.18782004334275 2.74542505384208e-05 2.74278540825059e-05
