time v(/en) v(/clk) v(/rstb) v(/word) v(/net066) v(/en_out) v(/W0) v(/W1) v(/W2) v(/W3) v(/W4) v(/W5) v(/W6) v(/W7)
5.00313382585756e-05 -3.1509586644444e-11 0.933087075404083 2.49999999918673 2.49999999998957 0.00836862142939525 0.00839029805579283 0.00842395487074891 2.49959428851722 0.00842407194608984 2.49957880561991 0.00842405547464333 0.00842405286616593 0.00842405283674364 0.00842408527842053
5.00314347403625e-05 1.3871450615062e-11 0.928262986728638 2.50000000030538 2.49999999999307 0.00810197907153575 0.00813162259713532 0.00815740774234584 2.4995691810574 0.00815737649245067 2.49956384381487 0.00815736745482137 0.00815736641571183 0.0081573664458509 0.00815735414642794
5.00315255865247e-05 -3.05081603916432e-11 0.923720677469507 2.499999999339 2.49999999999323 0.00799419133504872 0.00800436079287117 0.00801696288953692 2.49942653702757 0.00801690187951504 2.49942453758464 0.00801689788463226 0.00801689480591274 0.0080168947768911 0.0080168726304463
5.00316321461435e-05 3.03955895152003e-11 0.918392697627997 2.500000000476 2.50000000000612 0.00790821425633906 0.00791129649879008 0.00792823283333438 2.49943291046636 0.00792828472008398 2.49942720741048 0.00792828177402659 0.00792828163645176 0.00792828166571746 0.00792829482866849
5.00317485843874e-05 -3.20761592839677e-11 0.912570784112972 2.49999999924195 2.49999999998928 0.00769433644832991 0.00771276820462407 0.00773609802392022 2.49952912444714 0.00773613595830197 2.4995240888305 0.00773613555747013 0.00773613420303155 0.00773613417348541 0.0077361470451142
5.00318772947963e-05 2.11789354708509e-11 0.906135264705845 2.50000000041574 2.49999999999879 0.00747500327910936 0.0074907909544143 0.00750460586913144 2.4994701794888 0.00750455716119225 2.49946961122277 0.00750455610750978 0.00750455685514852 0.00750455688494731 0.00750454182841322
5.00320117768962e-05 -2.53269234864025e-11 0.899411158688252 2.4999999993598 2.49999999999574 0.00734265242450412 0.00734717545775181 0.00735832259775315 2.49942111469618 0.00735832834212252 2.49941897371691 0.00735832734444683 0.00735832742439292 0.00735832739475217 0.00735832789627491
5.0032220295199e-05 2.36612765286878e-11 0.888985244554951 2.50000000039578 2.49999999999951 0.00703514730490897 0.00705014860223516 0.00706806578866617 2.49950168783345 0.00706809266653718 2.4994986774093 0.00706809249598808 0.0070680928476736 0.00706809287703067 0.00706810186441126
5.00323852016089e-05 -3.1096174550302e-11 0.880739922914824 2.49999999930924 2.499999999991 0.00678026000296431 0.00679348095363936 0.00680477315880018 2.49945913789107 0.00680473774539057 2.49945916855921 0.00680473673383439 0.00680473729267989 0.00680473726330907 0.00680472652618051
5.00326214537636e-05 2.80646880830846e-11 0.868927316362912 2.50000000046321 2.50000000000363 0.00649990540609235 0.00650651976504455 0.00651821391680006 2.49944149208683 0.00651823516978765 2.49943951949971 0.00651823534088263 0.00651823536189941 0.00651823539113623 0.00651824109496033
5.003292571258e-05 -3.1582373482895e-11 0.853714374315196 2.49999999928136 2.49999999998996 0.00604759179872701 0.00606318178401833 0.00607750919700849 2.49948851311088 0.00607750523549723 2.49948764596413 0.00607750452463375 0.00607750493768246 0.0060775049082618 0.00607750458977384
5.00331974128885e-05 2.64849171982247e-11 0.840129360038403 2.50000000046843 2.50000000000279 0.00569543555839885 0.00570315656749542 0.00571200360218819 2.4994302738352 0.00571199042929447 2.4994302816338 0.00571199075265785 0.00571199058519577 0.00571199061463882 0.00571198576869752
5.00335222735664e-05 -2.8922268480054e-11 0.823886324974437 2.49999999930231 2.49999999999195 0.00526765713928416 0.00527945682425018 0.00529329831586308 2.49947345019796 0.00529331995736595 2.49947121092422 0.00529331947096207 0.00529331975844116 0.00529331972879952 0.00529332684885263
5.00339506450407e-05 2.4351472309793e-11 0.802467752298455 2.50000000044991 2.50000000000105 0.00468565561657643 0.00469651928072271 0.00470585001854239 2.49944351384403 0.00470582643225483 2.49944481185783 0.00470582680584368 0.00470582658377585 0.00470582661324262 0.00470581917196831
5.00348073879892e-05 -2.74901580439978e-11 0.759630603664111 2.49999999933022 2.49999999999338 0.00364179463063824 0.00365036805965915 0.00366177498265274 2.49944697488658 0.00366179751792966 2.49944538595593 0.00366179712003209 0.00366179735456668 0.00366179732478929 0.00366180430016687
5.00355984805087e-05 2.39578464378642e-11 0.720075978614643 2.50000000045719 2.50000000000086 0.00270436682690442 0.00271494069580175 0.00272350072714883 2.49943582713771 0.00272347976246459 2.49943681313627 0.0027234801431552 0.00272347991377585 0.00272347994333889 0.002723473584955
5.00365876311854e-05 -2.65905353923588e-11 0.670618443538232 2.49999999936791 2.49999999999462 0.00175373917426169 0.00175876354379176 0.00176667967059198 2.49941212455952 0.00176669839028946 2.49941110734137 0.00176669802061783 0.00176669824674779 0.00176669821724281 0.00176670379266754
