Time	2kV
-42.9E-9	0.0661847
-42.8E-9	-0.172742
-42.7E-9	-0.00425042
-42.6E-9	-0.0753761
-42.5E-9	-0.239725
-42.4E-9	0.115904
-42.3E-9	-0.230402
-42.2E-9	-0.400621
-42.1E-9	-0.082972
-42.0E-9	-0.000797712
-41.9E-9	0.0931158
-41.8E-9	-0.147192
-41.7E-9	-0.0657085
-41.6E-9	0.0534097
-41.5E-9	-0.000797712
-41.4E-9	-0.0736497
-41.3E-9	-0.0360153
-41.2E-9	0.264715
-41.1E-9	0.129024
-41.0E-9	-0.00459569
-40.9E-9	-0.0480997
-40.8E-9	-0.0532788
-40.7E-9	0.129369
-40.6E-9	0.153883
-40.5E-9	-0.00114298
-40.4E-9	0.0613509
-40.3E-9	0.0171563
-40.2E-9	-0.108867
-40.1E-9	-0.252154
-40.0E-9	-0.192423
-39.9E-9	0.06653
-39.8E-9	-0.161348
-39.7E-9	-0.219354
-39.6E-9	-0.0726139
-39.5E-9	-0.115427
-39.4E-9	0.0748165
-39.3E-9	-0.0239308
-39.2E-9	-0.211758
-39.1E-9	-0.158586
-39.0E-9	-0.0380869
-38.9E-9	-0.0674349
-38.8E-9	0.0986401
-38.7E-9	0.0775786
-38.6E-9	-0.149609
-38.5E-9	-0.0152991
-38.4E-9	-0.0802099
-38.3E-9	-0.0142633
-38.2E-9	-0.137525
-38.1E-9	-0.0480997
-38.0E-9	-0.0090842
-37.9E-9	-0.039468
-37.8E-9	0.0668753
-37.7E-9	-0.0477545
-37.6E-9	0.0492665
-37.5E-9	0.0358009
-37.4E-9	-0.317065
-37.3E-9	-0.266656
-37.2E-9	-0.0342889
-37.1E-9	0.131096
-37.0E-9	-0.245594
-36.9E-9	-0.0242761
-36.8E-9	-0.149954
-36.7E-9	-0.0536241
-36.6E-9	0.020609
-36.5E-9	0.0389084
-36.4E-9	-0.12544
-36.3E-9	-0.126821
-36.2E-9	0.0568624
-36.1E-9	-0.00804839
-36.0E-9	-0.0494808
-35.9E-9	0.0679111
-35.8E-9	-0.158586
-35.7E-9	-0.213139
-35.6E-9	0.0996759
-35.5E-9	0.120047
-35.4E-9	-0.102998
-35.3E-9	0.153193
-35.2E-9	-0.000107172
-35.1E-9	-0.147192
-35.0E-9	0.033384
-34.9E-9	-0.0436112
-34.8E-9	-0.300492
-34.7E-9	0.0513381
-34.6E-9	-0.000107172
-34.5E-9	-0.146502
-34.4E-9	0.00990567
-34.3E-9	-0.173088
-34.2E-9	-0.127512
