time v(/Ch1)
2.26040938983351e-07 -0.526618836104176
2.26120938983351e-07 -0.526457134362075
2.26200938983351e-07 -0.526307014919555
2.26280938983351e-07 -0.526183292540465
2.26360938983351e-07 -0.526090999022888
2.26440938983351e-07 -0.526038652872863
2.26520938983351e-07 -0.526223089906593
2.26600938983351e-07 -0.526507543312158
2.26680938983351e-07 -0.526623407118189
2.26760938983351e-07 -0.526757172071342
2.26840938983351e-07 -0.526879741619247
2.26920938983351e-07 -0.526664424924738
2.27000938983351e-07 -0.526203184519828
2.27080938983351e-07 -0.525852551243451
2.27160938983351e-07 -0.525533607511175
2.27240938983351e-07 -0.525182885956423
2.27320938983351e-07 -0.524799228870931
2.27400938983351e-07 -0.524390923138524
2.27480938983351e-07 -0.523975379584795
2.27560938983351e-07 -0.523486298309955
2.27960938983351e-07 -0.520940027885052
2.28040938983351e-07 -0.520428316545199
2.28120938983351e-07 -0.519972676010257
2.28200938983351e-07 -0.519485817504853
2.28280938983351e-07 -0.519110421432733
2.28360938983351e-07 -0.518790889552982
2.28440938983351e-07 -0.518364359801079
2.28520938983351e-07 -0.517978429254189
2.28600938983351e-07 -0.517572726787881
2.28680938983351e-07 -0.517286191382504
2.28760938983351e-07 -0.517095753038869
2.28840938983351e-07 -0.516901974774771
2.28920938983351e-07 -0.516664872094734
2.29000938983351e-07 -0.51647260597668
2.29080938983351e-07 -0.516369157912391
2.29160938983351e-07 -0.516299605674335
2.29240938983351e-07 -0.516197820918512
2.29320938983351e-07 -0.516073677532354
2.29400938983351e-07 -0.515943129161267
2.29520938983351e-07 -0.515777588237783
2.29640938983351e-07 -0.515623451486307
2.29720938983351e-07 -0.515514705960832
2.29800938983351e-07 -0.515406562499027
2.29880938983351e-07 -0.515300071590977
2.29960938983351e-07 -0.515206087385649
2.30040938983351e-07 -0.515129327332302
2.30120938983351e-07 -0.515090834320452
2.30200938983351e-07 -0.515083722299383
2.30280938983351e-07 -0.515074562119128
2.30360938983351e-07 -0.515078596247938
2.30440938983351e-07 -0.515084155054856
2.30520938983351e-07 -0.515053743726915
2.30600938983351e-07 -0.514961247376343
2.30680938983351e-07 -0.514841998198973
2.30760938983351e-07 -0.51466621306759
2.30840938983351e-07 -0.514451014513904
2.30920938983351e-07 -0.514175599572294
2.31000938983351e-07 -0.513864983761412
2.31080938983351e-07 -0.513556236943242
2.31160938983351e-07 -0.513221584056098
2.31240938983351e-07 -0.512863853888505
2.31320938983351e-07 -0.512457731902652
2.31400938983351e-07 -0.512040057267448
2.31480938983351e-07 -0.511575088445573
2.31560938983351e-07 -0.5110340717307
2.31640938983351e-07 -0.510565701805193
2.31720938983351e-07 -0.510052450469926
2.32120938983351e-07 -0.507225320218661
2.32200938983351e-07 -0.506658170164236
2.32280938983351e-07 -0.506136941021186
2.32360938983351e-07 -0.505567658365677
2.32440938983351e-07 -0.504952689029439
2.32520938983351e-07 -0.504337889764126
2.32600938983351e-07 -0.503690640392951
2.32680938983351e-07 -0.503039314069297
2.32760938983351e-07 -0.502342000107808
2.32840938983351e-07 -0.501620059132474
2.32920938983351e-07 -0.500869840132355
2.33000938983351e-07 -0.500080021745713
2.33080938983351e-07 -0.499299376015784
2.33160938983351e-07 -0.498460034326246
2.33240938983351e-07 -0.497509941259074
2.33320938983351e-07 -0.49657085333377
2.33400938983351e-07 -0.495585628059384
2.33520938983351e-07 -0.493995294782101
2.33640938983351e-07 -0.492352926571182
2.34240938983351e-07 -0.484178083946852
2.34320938983351e-07 -0.483100575163769
2.34340938983351e-07 -0.482831197967998
2.34390938983351e-07 -0.482159184148267
2.34470938983351e-07 -0.481082906398515
2.34550938983351e-07 -0.480236344493756
2.34630938983351e-07 -0.479518049859765
2.34710938983351e-07 -0.478921369842416
2.34790938983351e-07 -0.478306517180153
2.34870938983351e-07 -0.477845816942146
2.34950938983351e-07 -0.477611361516165
2.35030938983351e-07 -0.477461865148763
2.35110938983351e-07 -0.477524561096283
2.35190938983351e-07 -0.477697966569504
2.35270938983351e-07 -0.478049752620106
2.35350938983351e-07 -0.478579432103821
2.35430938983351e-07 -0.479278407706463
2.35510938983351e-07 -0.480139347378461
2.35590938983351e-07 -0.481140851789086
2.35670938983351e-07 -0.482295340440567
2.35750938983351e-07 -0.483569031419455
2.35830938983351e-07 -0.484946679707653
2.35910938983351e-07 -0.486317369659451
2.35990938983351e-07 -0.487776131268055
2.36070938983351e-07 -0.489232381458824
2.36150938983351e-07 -0.490678591368753
2.36230938983351e-07 -0.492215593218981
2.36310938983351e-07 -0.493855175517006
2.36710938983351e-07 -0.502402883613395
2.36790938983351e-07 -0.504079358812904
2.36810938983351e-07 -0.504498477612781
2.36860938983351e-07 -0.505499561937452
2.36940938983351e-07 -0.507154627566424
2.37020938983351e-07 -0.508671011861518
2.37100938983351e-07 -0.510042514678799
2.37180938983351e-07 -0.511327202554934
2.37260938983351e-07 -0.512629288425434
2.37340938983351e-07 -0.513817379096662
2.37420938983351e-07 -0.514814248550952
2.37500938983351e-07 -0.515649888118669
2.37580938983351e-07 -0.51625487494986
2.37660938983351e-07 -0.51690225847096
2.37740938983351e-07 -0.51752496030897
2.37820938983351e-07 -0.517951025100894
2.37900938983351e-07 -0.518274455193959
2.37980938983351e-07 -0.518390225265039
2.38060938983351e-07 -0.518285245857521
2.38140938983351e-07 -0.51825999432738
2.38220938983351e-07 -0.518125601174989
2.38300938983351e-07 -0.517861698309639
2.38380938983351e-07 -0.517279202184815
2.38460938983351e-07 -0.516238598951961
2.38540938983351e-07 -0.515547254895492
2.38620938983351e-07 -0.514822329279912
2.38700938983351e-07 -0.513978161844007
2.38780938983351e-07 -0.512916606324709
2.38860938983351e-07 -0.51154736287024
2.38940938983351e-07 -0.510335606828007
2.39060938983351e-07 -0.508307661086072
2.39180938983351e-07 -0.50613716563476
2.39260938983351e-07 -0.504663223344591
2.39340938983351e-07 -0.503261998868986
2.39740938983351e-07 -0.496571588462502
2.39820938983351e-07 -0.495253915579482
2.39840938983351e-07 -0.494924497358727
2.39890938983351e-07 -0.494180893439788
2.39970938983351e-07 -0.492883410826851
2.40050938983351e-07 -0.491746600492473
2.40130938983351e-07 -0.490711826937348
2.40210938983351e-07 -0.489843987047681
2.40290938983351e-07 -0.488886519524504
2.40370938983351e-07 -0.487867351975032
2.40450938983351e-07 -0.486898627881149
2.40530938983351e-07 -0.485995076239864
2.40610938983351e-07 -0.485288032593602
2.40690938983351e-07 -0.484653674065336
2.40770938983351e-07 -0.484013192904513
2.40850938983351e-07 -0.483418696434465
2.40930938983351e-07 -0.482877559699198
2.41010938983351e-07 -0.48241096132563
2.41090938983351e-07 -0.481983807996886
2.41170938983351e-07 -0.481685115981214
2.41250938983351e-07 -0.481358895205036
2.41330938983351e-07 -0.481050574001976
2.41410938983351e-07 -0.480847999628005
2.41490938983351e-07 -0.480687400334672
2.41570938983351e-07 -0.480531839960334
2.41650938983351e-07 -0.480376563118488
2.41730938983351e-07 -0.480275793671884
2.41810938983351e-07 -0.480127137046436
2.41890938983351e-07 -0.479911817431343
2.41970938983351e-07 -0.47972602165931
2.42050938983351e-07 -0.479685733378747
2.42130938983351e-07 -0.479691387303195
