XXXX,,,,
Generated by XXXX,,,,
XXXX
,,,,
,,,,
XXXX,,,,
,,,,
,,,,
Setup: Parameters or device casing alteration,,,,
Err:510,,,,
risetime=100p start=5u load=1M ,,,,
,,,,
,,,,
Setup: Parameters or device casing alteration,,,,
Err:510,,,,
delay=5u ,,,,
,,,,
,,,,
amplitude,length,nominal,min_vclamp9,width(s)
-18,4.17532E-009,8.0217,-2.10538,4.20067E-009
-18,5.29832E-009,8.0217,-2.10538,5.32393E-009
-18,6.72336E-009,8.0217,-2.10538,6.74924E-009
-18,8.53168E-009,8.0217,-2.10538,8.55783E-009
-18,1.08264E-008,8.0217,-2.10538,1.08528E-008
-18,1.37382E-008,8.0217,-2.10538,1.37649E-008
-18,1.74333E-008,8.0217,-2.10538,1.74602E-008
-18,2.21222E-008,8.0217,-2.10538,2.21493E-008
-18,2.80722E-008,8.0217,-2.10538,2.80996E-008
-18,3.56225E-008,8.0217,-2.10538,3.56502E-008
-18,4.52035E-008,8.0217,-2.10538,4.52315E-008
-18,5.73615E-008,8.0217,-2.10538,5.73897E-008
-18,7.27895E-008,8.0217,-2.10538,7.2818E-008
-18,9.23671E-008,8.0217,-2.10538,9.23958E-008
-18,1.1721E-007,8.0217,-2.10538,1.17239E-007
-18,1.48735E-007,8.0217,-2.10538,1.48765E-007
-18,1.88739E-007,8.0217,-2.10538,1.88769E-007
-18,2.39503E-007,8.0217,-2.10538,2.39533E-007
-18,3.0392E-007,8.0217,-2.10538,0.000000304
-18,3.85662E-007,8.0217,-2.10538,3.85692E-007
-18,4.8939E-007,8.0217,-2.10538,4.89421E-007
-18,0.000000621,8.0217,-2.10538,0.000000621
-18,0.000000788,8.0217,-2.10538,7.88077E-007
-18,0.000001,8.0217,-2.10538,0.000001
-20,0.000000001,8.0217,-2.17631,0.000000001
-20,1.26896E-009,8.0217,-2.17631,1.30571E-009
-20,1.61026E-009,8.0217,-2.17631,1.64722E-009
-20,0.000000002,8.0217,-2.17631,2.08054E-009
-20,2.59294E-009,8.0217,-2.17631,2.63035E-009
-20,3.29034E-009,8.0217,-2.17631,3.32798E-009
-20,4.17532E-009,8.0217,-2.17631,4.2132E-009
-20,5.29832E-009,8.0217,-2.17631,5.33644E-009
-20,6.72336E-009,8.0217,-2.17631,6.76173E-009
-20,8.53168E-009,8.0217,-2.17631,8.5703E-009
-20,1.08264E-008,8.0217,-2.17631,1.08652E-008
-20,1.37382E-008,8.0217,-2.17631,1.37773E-008
-20,1.74333E-008,8.0217,-2.17631,1.74726E-008
-20,2.21222E-008,8.0217,-2.17631,2.21617E-008
-20,2.80722E-008,8.0217,-2.17631,2.8112E-008
-20,3.56225E-008,8.0217,-2.17631,3.56625E-008
-20,4.52035E-008,8.0217,-2.17631,4.52438E-008
-20,5.73615E-008,8.0217,-2.17631,5.74021E-008
-20,7.27895E-008,8.0217,-2.17631,7.28303E-008
-20,9.23671E-008,8.0217,-2.17631,9.24081E-008
-20,1.1721E-007,8.0217,-2.17631,1.17252E-007
-20,1.48735E-007,8.0217,-2.17631,1.48777E-007
-20,1.88739E-007,8.0217,-2.17631,1.88781E-007
-20,2.39503E-007,8.0217,-2.17631,2.39545E-007
-20,3.0392E-007,8.0217,-2.17631,0.000000304
-20,3.85662E-007,8.0217,-2.17631,3.85705E-007
-20,4.8939E-007,8.0217,-2.17631,4.89433E-007
-20,0.000000621,8.0217,-2.17631,6.2106E-007
-20,0.000000788,8.0217,-2.17631,7.8809E-007
-20,0.000001,8.0217,-2.17631,0.000001
-22,0.000000001,8.0217,-2.27104,0.000000001
-22,1.26896E-009,8.0217,-2.27104,1.31484E-009
-22,1.61026E-009,8.0217,-2.27104,1.65634E-009
-22,0.000000002,8.0217,-2.27104,2.08965E-009
-22,2.59294E-009,8.0217,-2.27104,2.63944E-009
-22,3.29034E-009,8.0217,-2.27104,3.33706E-009
-22,4.17532E-009,8.0217,-2.27104,4.22226E-009
-22,5.29832E-009,8.0217,-2.27104,5.3455E-009
-22,6.72336E-009,8.0217,-2.27104,6.77077E-009
-22,8.53168E-009,8.0217,-2.27104,8.57932E-009
-22,1.08264E-008,8.0217,-2.27104,1.08742E-008
-22,1.37382E-008,8.0217,-2.27104,1.37863E-008
-22,1.74333E-008,8.0217,-2.27104,1.74816E-008
-22,2.21222E-008,8.0217,-2.27104,2.21707E-008
-22,2.80722E-008,8.0217,-2.27104,2.81209E-008
-22,3.56225E-008,8.0217,-2.27104,3.56715E-008
-22,4.52035E-008,8.0217,-2.27104,4.52527E-008
-22,5.73615E-008,8.0217,-2.27104,5.7411E-008
-22,7.27895E-008,8.0217,-2.27104,7.28392E-008
-22,9.23671E-008,8.0217,-2.27104,9.2417E-008
-22,1.1721E-007,8.0217,-2.27104,1.1726E-007
-22,1.48735E-007,8.0217,-2.27104,1.48786E-007
-22,1.88739E-007,8.0217,-2.27104,1.8879E-007
-22,2.39503E-007,8.0217,-2.27104,2.39554E-007
-22,3.0392E-007,8.0217,-2.27104,0.000000304
-22,3.85662E-007,8.0217,-2.27104,3.85713E-007
-22,4.8939E-007,8.0217,-2.27104,4.89442E-007
-22,0.000000621,8.0217,-2.27104,6.21069E-007
-22,0.000000788,8.0217,-2.27104,7.88099E-007
-22,0.000001,8.0217,-2.27104,1.00005E-006
-24,0.000000001,8.0217,-2.37547,1.05281E-009
-24,1.26896E-009,8.0217,-2.37547,1.32195E-009
-24,1.61026E-009,8.0217,-2.37547,1.66344E-009
-24,0.000000002,8.0217,-2.37547,2.09673E-009
-24,2.59294E-009,8.0217,-2.37547,2.64651E-009
-24,3.29034E-009,8.0217,-2.37547,3.34412E-009
-24,4.17532E-009,8.0217,-2.37547,4.22931E-009
-24,5.29832E-009,8.0217,-2.37547,5.35252E-009
-24,6.72336E-009,8.0217,-2.37547,6.77778E-009
-24,8.53168E-009,8.0217,-2.37547,8.58632E-009
-24,1.08264E-008,8.0217,-2.37547,1.08812E-008
-24,1.37382E-008,8.0217,-2.37547,1.37933E-008
-24,1.74333E-008,8.0217,-2.37547,1.74885E-008
-24,2.21222E-008,8.0217,-2.37547,2.21776E-008
-24,2.80722E-008,8.0217,-2.37547,2.81278E-008
-24,3.56225E-008,8.0217,-2.37547,3.56784E-008
-24,4.52035E-008,8.0217,-2.37547,4.52596E-008
-24,5.73615E-008,8.0217,-2.37547,5.74178E-008
-24,7.27895E-008,8.0217,-2.37547,7.28461E-008
-24,9.23671E-008,8.0217,-2.37547,9.24239E-008
-24,1.1721E-007,8.0217,-2.37547,1.17267E-007
-24,1.48735E-007,8.0217,-2.37547,1.48792E-007
-24,1.88739E-007,8.0217,-2.37547,1.88797E-007
-24,2.39503E-007,8.0217,-2.37547,2.3956E-007
-24,3.0392E-007,8.0217,-2.37547,0.000000304
-24,3.85662E-007,8.0217,-2.37547,3.8572E-007
-24,4.8939E-007,8.0217,-2.37547,4.89449E-007
-24,0.000000621,8.0217,-2.37547,6.21076E-007
-24,0.000000788,8.0217,-2.37547,7.88106E-007
-24,0.000001,8.0217,-2.37547,1.00006E-006
-26,0.000000001,8.0217,-2.4867,1.05856E-009
-26,1.26896E-009,8.0217,-2.4867,1.32768E-009
-26,1.61026E-009,8.0217,-2.4867,1.66916E-009
-26,0.000000002,8.0217,-2.4867,2.10244E-009
-26,2.59294E-009,8.0217,-2.4867,2.65221E-009
-26,3.29034E-009,8.0217,-2.4867,3.3498E-009
-26,4.17532E-009,8.0217,-2.4867,4.23498E-009
-26,5.29832E-009,8.0217,-2.4867,5.35819E-009
-26,6.72336E-009,8.0217,-2.4867,6.78343E-009
-26,8.53168E-009,8.0217,-2.4867,8.59195E-009
-26,1.08264E-008,8.0217,-2.4867,1.08868E-008
-26,1.37382E-008,8.0217,-2.4867,1.37989E-008
-26,1.74333E-008,8.0217,-2.4867,1.74941E-008
-26,2.21222E-008,8.0217,-2.4867,2.21832E-008
-26,2.80722E-008,8.0217,-2.4867,2.81334E-008
-26,3.56225E-008,8.0217,-2.4867,3.56839E-008
-26,4.52035E-008,8.0217,-2.4867,4.52652E-008
-26,5.73615E-008,8.0217,-2.4867,5.74234E-008
-26,7.27895E-008,8.0217,-2.4867,7.28516E-008
-26,9.23671E-008,8.0217,-2.4867,9.24294E-008
-26,1.1721E-007,8.0217,-2.4867,1.17273E-007
-26,1.48735E-007,8.0217,-2.4867,1.48798E-007
-26,1.88739E-007,8.0217,-2.4867,1.88802E-007
-26,2.39503E-007,8.0217,-2.4867,2.39566E-007
-26,3.0392E-007,8.0217,-2.4867,0.000000304
-26,3.85662E-007,8.0217,-2.4867,3.85726E-007
-26,4.8939E-007,8.0217,-2.4867,4.89454E-007
-26,0.000000621,8.0217,-2.4867,6.21082E-007
