Measurement report of dcv_sheet_total_v2,,,,,,
Generated by DesCoVer 2.6.0,,,,,,
Date,2017-03-04 03:02:25 -0600,Author,b48923,,,
,,,,,,
,,,,,,
Testbench: LIB: esd_sm8mvLib - CELL: wunchbell_patrice - VIEW: schematic_total - Sat Mar 04 03:02:28 CST 2017,,,,,,
,,,,,,
,,,,,,
Setup: Parameters or device casing alteration,,,,,,
Err:510,,,,,,
risetime=1n start=45u ,,,,,,
,,,,,,
,,,,,,
amplitude,length,time,vin,v2p5,vclamp9,v1p0
-20,0.0000001,7.11164E-007,8.43117,0.00135945,7.93246,0.0683736
-20,0.0000001,7.145E-007,8.46852,0.00136426,7.94948,0.0684817
-20,0.0000001,0.000000718,8.50769,0.00136695,7.96449,0.0687318
-20,0.0000001,7.22064E-007,8.55231,0.00137102,7.97725,0.0691125
-20,0.0000001,7.27143E-007,8.60862,0.00137516,7.98985,0.0700061
-20,0.0000001,7.28797E-007,8.62701,0.00137759,7.99353,0.0703605
-20,0.0000001,7.32103E-007,8.66388,0.00138042,8.00073,0.0713342
-20,0.0000001,7.33757E-007,8.68235,0.0013831,8.00417,0.0718724
-20,0.0000001,7.34583E-007,8.69159,0.00138343,8.00589,0.0722112
-20,0.0000001,7.36237E-007,8.71009,0.00138589,8.00916,0.0728573
-20,0.0000001,7.37063E-007,8.71935,0.00138654,8.01079,0.0732512
-20,0.0000001,7.38717E-007,8.73789,0.00138888,8.0139,0.074017
-20,0.0000001,7.39543E-007,8.74716,0.0013896,8.01546,0.074474
-20,0.0000001,7.41197E-007,8.76575,0.00139192,8.01855,0.0753713
-20,0.0000001,7.44503E-007,8.80357,0.00139559,8.0283,0.0773169
-20,0.0000001,7.45255E-007,8.81233,0.00139701,8.03146,0.0777395
-20,0.0000001,7.46758E-007,8.82964,0.00139824,8.03808,0.0786508
-20,0.0000001,7.48906E-007,8.85402,0.00140139,8.04614,0.0798851
-20,0.0000001,7.52064E-007,8.88938,0.0014045,8.05318,0.0813067
-20,0.0000001,7.55554E-007,8.92846,0.00140927,8.05663,0.0804147
-20,0.0000001,7.56477E-007,8.93885,0.00140447,8.05733,0.0788769
-20,0.0000001,7.58323E-007,8.95971,0.00141705,8.05897,0.0749528
-20,0.0000001,7.61465E-007,8.99532,0.0014173,8.06241,0.0701567
-20,0.0000001,7.6435E-007,9.02806,0.0014222,8.06561,0.0677773
-20,0.0000001,7.70076E-007,9.09319,0.00143023,8.07116,0.0655054
-20,0.0000001,7.78183E-007,9.1859,0.00143909,8.0779,0.0630953
-20,0.0000001,7.8915E-007,9.31208,0.00145629,8.08605,0.0598836
-20,0.0000001,8.02554E-007,9.46734,0.00147091,8.0941,0.0566779
-20,0.0000001,8.14902E-007,9.61128,0.00149063,8.10018,0.0541711
-20,0.0000001,8.21076E-007,9.68353,0.00149446,8.10275,0.0527863
-20,0.0000001,8.24163E-007,9.71972,0.00150372,8.10395,0.0521143
-20,0.0000001,8.30337E-007,9.79224,0.00150553,8.10611,0.050589
-20,0.0000001,8.42685E-007,9.93779,0.00152778,8.10967,0.047116
-20,0.0000001,8.46853E-007,9.98709,0.00152639,8.11053,0.0457073
-20,0.0000001,8.55188E-007,10.086,0.00154391,8.11179,0.0427275
-20,0.0000001,8.71859E-007,10.2852,0.00155784,8.1121,0.0361662
-20,0.0000001,8.92205E-007,10.5305,0.00159009,8.1095,0.0285511
-20,0.0000001,9.19824E-007,10.8655,0.00161677,8.10366,0.0199606
-20,0.0000001,9.26689E-007,10.9488,0.0016321,8.10209,0.018228
-20,0.0000001,9.4042E-007,11.1156,0.00164156,8.09883,0.0150864
-20,0.0000001,9.47286E-007,11.199,0.0016567,8.09729,0.0139994
-20,0.0000001,0.000000961,11.3657,0.00166597,8.09422,0.0132814
-20,0.0000001,9.75319E-007,11.5392,0.00168966,8.09125,0.0129144
-20,0.0000001,0.000000988,11.6935,0.00169683,8.08878,0.0120108
-20,0.0000001,0.000000991,11.7297,0.00170531,8.08826,0.0120262
-20,0.0000001,9.95516E-007,11.784,0.00170444,8.08742,0.0116955
-20,0.0000001,0.000001,11.8383,0.0017136,8.08666,0.011456
-20,0.0000001,0.000001001,11.8408,0.00140851,8.08291,0.011241
-20,0.0000001,0.000001002,11.8421,0.00180153,8.07887,0.0111422
-20,0.0000001,1.00308E-006,11.8428,0.00178377,8.07553,0.0111089
-20,0.0000001,1.00384E-006,11.8436,0.00154096,8.07384,0.0110694
-20,0.0000001,1.0046E-006,11.8443,0.00183326,8.07263,0.0110631
-20,0.0000001,1.0055E-006,11.8451,0.00166907,8.07173,0.0110369
-20,0.0000001,1.00691E-006,11.8463,0.00169443,8.07091,0.0109838
-20,0.0000001,0.000001008,11.8472,0.00176595,8.07046,0.0109451
-20,0.0000001,1.00915E-006,11.8481,0.00163575,8.06979,0.0108749
-20,0.0000001,1.01057E-006,11.8491,0.00177015,8.06869,0.0107975
-20,0.0000001,1.01246E-006,11.8503,0.00165376,8.06679,0.0106747
-20,0.0000001,1.01623E-006,11.8527,0.00174683,8.06274,0.0104255
-20,0.0000001,1.01959E-006,11.8547,0.00166638,8.05961,0.0101894
-20,0.0000001,1.02066E-006,11.8553,0.00170718,8.05875,0.0101118
-20,0.0000001,1.02279E-006,11.8565,0.00170347,8.0571,0.00995632
-20,0.0000001,1.02532E-006,11.8578,0.00168465,8.05516,0.00976095
-20,0.0000001,1.02793E-006,11.8591,0.00171254,8.05318,0.00956335
-20,0.0000001,1.03175E-006,11.8609,0.0016725,8.05041,0.00926599
-20,0.0000001,1.03679E-006,11.8631,0.00172098,8.0471,0.00888289
-20,0.0000001,1.03908E-006,11.864,0.00173858,8.04571,0.00870758
-20,0.0000001,1.04055E-006,11.8645,0.00191415,8.04484,0.00860175
-20,0.0000001,1.04189E-006,11.865,0.00212894,8.04405,0.00850523
-20,0.0000001,1.04334E-006,11.8655,0.00261933,8.04321,0.00840616
